FirstName,LastName,ProductName,Price,Quantity,TotalPrice,OrderDate
Mehmet,Özkan,Şöbiyet,310.83,1,310.83,2024-01-01
Ali,Yılmaz,Su Böreği,20.17,7,141.19,2024-06-01
Mehmet,Arslan,Ispanaklı Börek,405.04,8,3240.32,2024-07-06
Emine,Polat,Kuru Pasta,354.23,4,1416.92,2024-05-01
Zeynep,Tekin,Açma,399.54,8,3196.32,2024-02-16
Rabia,Kara,Ispanaklı Börek,171.11,4,684.44,2024-08-09
Rabia,Yıldız,Kıymalı Börek,497.92,2,995.84,2024-07-22
Hatice,Arslan,Tam Buğday Ekmeği,449.44,2,898.88,2024-06-21
Ahmet,Yılmaz,Kadayıf,340.75,6,2044.5,2024-04-18
Murat,Koç,Revani,44.78,6,268.68,2024-08-26
Ali,Güneş,Patatesli Börek,282.6,10,2826.0,2024-05-07
Onur,Aksoy,Şöbiyet,487.25,1,487.25,2024-08-13
Hüseyin,Polat,Revani,128.78,5,643.9,2024-05-01
Selin,Doğan,Pastane Kurabiyesi,413.95,2,827.9,2024-02-23
Ali,Kılıç,Karamelli Pasta,431.39,3,1294.17,2024-01-31
Yusuf,Polat,Ispanaklı Börek,203.33,1,203.33,2024-06-17
Selin,Demir,Kadayıf,415.69,3,1247.07,2024-09-25
Hatice,Yılmaz,Şöbiyet,27.99,6,167.94,2024-02-03
Hasan,Polat,Sütlaç,378.59,6,2271.54,2024-03-17
Mehmet,Aksoy,Çikolatalı Kurabiye,488.69,10,4886.9,2024-05-22
Aslı,Polat,Kıymalı Börek,101.16,5,505.8,2024-07-24
Hüseyin,Yavuz,Kadayıf,153.25,1,153.25,2024-08-06
Ali,Taş,Sarma,487.3,5,2436.5,2024-02-02
Zeynep,Polat,Revani,323.25,7,2262.75,2024-03-29
Ali,Aksoy,Açma,192.99,2,385.98,2024-03-19
Hasan,Polat,Poğaça,284.11,1,284.11,2024-07-31
Hatice,Kara,Ispanaklı Börek,54.75,1,54.75,2024-05-02
Hüseyin,Kılıç,Ispanaklı Börek,493.78,8,3950.24,2024-01-07
Ayşe,Polat,Poğaça,73.63,2,147.26,2024-07-24
Kemal,Yıldız,Çikolatalı Pasta,99.11,10,991.1,2024-05-09
Serkan,Aksoy,Kıymalı Börek,340.7,10,3407.0,2024-07-09
Yusuf,Öztürk,Kadayıf,271.59,6,1629.54,2024-03-20
Mehmet,Koç,Sarma,91.3,6,547.8,2024-04-19
Elif,Taş,Çikolatalı Kurabiye,410.3,3,1230.9,2024-03-24
Kemal,Taş,Su Böreği,389.46,2,778.92,2024-05-14
Selin,Taş,Çikolatalı Pasta,128.28,2,256.56,2024-04-03
Serkan,Arslan,Köy Ekmeği,428.27,5,2141.35,2024-01-07
Rabia,Aydın,Baklava,446.88,4,1787.52,2024-07-08
Elif,Yıldız,Pastane Kurabiyesi,209.29,9,1883.61,2024-07-23
Mehmet,Aydın,Açma,353.87,3,1061.61,2024-04-03
Emine,Koç,Çikolatalı Kurabiye,122.51,10,1225.1,2024-06-21
Cem,Aydın,Simit,426.72,3,1280.16,2024-01-14
Rabia,Aydın,Şöbiyet,409.84,2,819.68,2024-03-24
Elif,Tekin,Pastane Kurabiyesi,437.07,7,3059.49,2024-07-18
Ali,Şahin,Kuru Pasta,300.78,6,1804.68,2024-03-14
Murat,Güneş,Peynirli Börek,174.9,6,1049.4,2024-04-01
Mehmet,Doğan,Kıymalı Börek,297.41,1,297.41,2024-08-15
Elif,Doğan,Kıymalı Börek,224.55,7,1571.85,2024-04-29
Onur,Demir,Çikolatalı Pasta,418.45,6,2510.7,2024-09-30
Ayşe,Koç,Peynirli Börek,54.92,7,384.44,2024-09-06
Ali,Koç,Tereyağlı Kurabiye,423.5,10,4235.0,2024-09-15
Rabia,Öztürk,Tam Buğday Ekmeği,22.7,7,158.9,2024-01-10
Murat,Tekin,Pastane Kurabiyesi,491.9,6,2951.4,2024-08-23
Elif,Tekin,Simit,471.45,4,1885.8,2024-03-26
Selin,Yavuz,Simit,380.98,7,2666.86,2024-03-07
Ali,Çelik,Kadayıf,446.6,4,1786.4,2024-08-26
Yusuf,Şahin,Ispanaklı Börek,95.53,7,668.71,2024-08-05
Ahmet,Kılıç,Köy Ekmeği,208.43,5,1042.15,2024-09-26
Fatma,Güneş,Kadayıf,191.13,6,1146.78,2024-04-02
Zeynep,Arslan,Kazandibi,448.95,2,897.9,2024-05-28
Mehmet,Özkan,Peynirli Börek,476.29,5,2381.45,2024-03-16
Murat,Şahin,Kadayıf,316.06,8,2528.48,2024-05-15
Ahmet,Kara,Su Böreği,404.56,9,3641.04,2024-01-24
Hüseyin,Arslan,Karamelli Pasta,372.46,6,2234.76,2024-09-27
Emine,Tekin,Kıymalı Börek,48.39,3,145.17,2024-03-14
Aslı,Taş,Baklava,91.65,9,824.85,2024-04-27
Rabia,Erdoğan,Çavdar Ekmeği,281.51,9,2533.59,2024-04-01
Ahmet,Yavuz,Patatesli Börek,469.86,5,2349.3,2024-08-19
Zeynep,Taş,Şöbiyet,458.89,4,1835.56,2024-04-24
Aslı,Kara,Çikolatalı Kurabiye,28.27,1,28.27,2024-05-30
Zeynep,Öztürk,Karamelli Pasta,90.22,9,811.98,2024-03-21
Ali,Tekin,Köy Ekmeği,209.31,5,1046.55,2024-02-14
Serkan,Şahin,Patatesli Börek,250.95,2,501.9,2024-04-01
Cem,Erdoğan,Çikolatalı Pasta,440.46,9,3964.14,2024-07-06
Aslı,Koç,Patatesli Börek,339.14,9,3052.26,2024-08-20
Zeynep,Aksoy,Sarma,79.0,7,553.0,2024-02-29
Ahmet,Yılmaz,Çavdar Ekmeği,231.43,2,462.86,2024-05-16
Murat,Özkan,Çikolatalı Kurabiye,261.01,2,522.02,2024-07-19
Yusuf,Demir,Kıymalı Börek,359.54,10,3595.4,2024-08-07
Zeynep,Yavuz,Tam Buğday Ekmeği,115.61,10,1156.1,2024-03-24
Hatice,Demir,Simit,487.49,2,974.98,2024-02-08
Hüseyin,Aydın,Çikolatalı Kurabiye,463.4,6,2780.4,2024-01-24
Emine,Yıldız,Su Böreği,105.67,6,634.02,2024-05-10
Elif,Güneş,Çikolatalı Pasta,436.38,8,3491.04,2024-07-11
Zeynep,Yavuz,Su Böreği,198.82,4,795.28,2024-05-25
Yusuf,Yavuz,Baklava,377.08,5,1885.4,2024-09-30
Elif,Doğan,Ispanaklı Börek,448.65,5,2243.25,2024-01-19
Mehmet,Şahin,Tereyağlı Kurabiye,121.99,1,121.99,2024-09-08
Hasan,Öztürk,Meyveli Pasta,424.89,10,4248.9,2024-08-01
Hatice,Öztürk,Baklava,476.11,9,4284.99,2024-03-17
Onur,Koç,Revani,58.66,3,175.98,2024-02-09
Cem,Öztürk,Sütlaç,98.98,7,692.86,2024-07-10
Kemal,Yavuz,Karamelli Pasta,313.84,5,1569.2,2024-04-07
Ahmet,Aksoy,Çikolatalı Kurabiye,84.55,2,169.1,2024-01-01
Ayşe,Öztürk,Çikolatalı Kurabiye,377.65,4,1510.6,2024-09-02
Onur,Yavuz,Kıymalı Börek,301.14,7,2107.98,2024-05-05
Yusuf,Doğan,Patatesli Börek,273.94,5,1369.7,2024-01-22
Aslı,Öztürk,Şöbiyet,116.12,9,1045.08,2024-01-25
Ali,Güneş,Su Böreği,398.1,5,1990.5,2024-07-08
Aslı,Kılıç,Kıymalı Börek,19.99,9,179.91,2024-06-18
Fatma,Polat,Tam Buğday Ekmeği,466.88,3,1400.64,2024-03-04
Kemal,Kılıç,Yaş Pasta,396.07,8,3168.56,2024-04-30
Hüseyin,Arslan,Karamelli Pasta,242.55,7,1697.85,2024-07-24
Ayşe,Güneş,Kıymalı Börek,293.93,6,1763.58,2024-05-13
Onur,Şahin,Tereyağlı Kurabiye,167.14,1,167.14,2024-07-12
Hatice,Taş,Sarma,299.27,1,299.27,2024-04-09
Ayşe,Şahin,Tam Buğday Ekmeği,264.54,4,1058.16,2024-08-09
Cem,Özkan,Tam Buğday Ekmeği,67.98,7,475.86,2024-04-08
Selin,Yavuz,Peynirli Börek,331.3,3,993.9,2024-04-10
Ali,Yılmaz,Revani,258.87,5,1294.35,2024-04-29
Ahmet,Özkan,Tereyağlı Kurabiye,312.66,5,1563.3,2024-05-29
Fatma,Erdoğan,Yaş Pasta,338.25,9,3044.25,2024-08-13
Onur,Kılıç,Tam Buğday Ekmeği,168.25,8,1346.0,2024-04-06
Hatice,Yavuz,Kadayıf,116.48,5,582.4,2024-05-09
Hüseyin,Yılmaz,Baklava,262.26,4,1049.04,2024-08-30
Ayşe,Özkan,Poğaça,447.35,3,1342.05,2024-05-04
Mehmet,Polat,Köy Ekmeği,373.63,9,3362.67,2024-06-09
Emine,Özkan,Poğaça,30.04,8,240.32,2024-08-27
Ali,Yıldız,Tam Buğday Ekmeği,225.21,1,225.21,2024-08-05
Emine,Tekin,Açma,319.17,5,1595.85,2024-04-27
Serkan,Özkan,Poğaça,456.93,4,1827.72,2024-05-16
Zeynep,Yavuz,Yaş Pasta,266.21,7,1863.47,2024-08-13
Mehmet,Tekin,Patatesli Börek,420.09,4,1680.36,2024-05-02
Fatma,Çelik,Kadayıf,192.52,5,962.6,2024-01-07
Ahmet,Yıldız,Kazandibi,198.42,10,1984.2,2024-03-15
Selin,Özkan,Kıymalı Börek,200.86,7,1406.02,2024-08-27
Elif,Erdoğan,Patatesli Börek,363.55,6,2181.3,2024-07-18
Kemal,Kılıç,Tereyağlı Kurabiye,165.41,4,661.64,2024-04-26
Hasan,Güneş,Tereyağlı Kurabiye,176.33,5,881.65,2024-05-07
Zeynep,Kara,Meyveli Pasta,329.82,8,2638.56,2024-09-11
Selin,Güneş,Simit,115.99,1,115.99,2024-05-20
Elif,Aksoy,Baklava,82.67,4,330.68,2024-04-14
Elif,Koç,Çikolatalı Pasta,187.08,2,374.16,2024-04-28
Kemal,Yılmaz,Patatesli Börek,133.79,4,535.16,2024-08-19
Rabia,Öztürk,Kuru Pasta,53.02,4,212.08,2024-04-05
Emine,Çelik,Karamelli Pasta,24.37,2,48.74,2024-03-30
Ahmet,Güneş,Şöbiyet,316.95,9,2852.55,2024-07-13
Rabia,Polat,Baklava,150.41,8,1203.28,2024-06-25
Rabia,Tekin,Sarma,428.21,8,3425.68,2024-05-14
Hüseyin,Kara,Su Böreği,436.87,7,3058.09,2024-02-27
Hasan,Demir,Kadayıf,376.17,6,2257.02,2024-07-31
Ayşe,Aksoy,Sütlaç,340.94,8,2727.52,2024-05-31
Rabia,Koç,Pastane Kurabiyesi,319.2,9,2872.8,2024-01-04
Elif,Güneş,Kuru Pasta,179.0,4,716.0,2024-01-24
Hasan,Erdoğan,Patatesli Börek,242.82,2,485.64,2024-08-21
Cem,Yavuz,Kuru Pasta,160.76,5,803.8,2024-09-16
Hatice,Kara,Köy Ekmeği,210.16,2,420.32,2024-01-15
Onur,Yavuz,Revani,41.38,7,289.66,2024-03-04
Aslı,Taş,Sarma,166.67,9,1500.03,2024-09-26
Hatice,Yıldız,Çikolatalı Pasta,477.93,4,1911.72,2024-07-07
Hüseyin,Taş,Simit,144.64,7,1012.48,2024-07-08
Cem,Şahin,Kazandibi,498.21,8,3985.68,2024-06-03
Aslı,Özkan,Simit,247.73,4,990.92,2024-05-30
Serkan,Taş,Kazandibi,80.93,10,809.3,2024-06-13
Emine,Öztürk,Çavdar Ekmeği,317.15,3,951.45,2024-09-30
Zeynep,Yıldız,Kazandibi,443.11,4,1772.44,2024-07-10
Mehmet,Polat,Kuru Pasta,42.41,3,127.23,2024-02-06
Serkan,Özkan,Kuru Pasta,375.97,7,2631.79,2024-09-13
Ahmet,Özkan,Poğaça,249.82,4,999.28,2024-04-04
Emine,Tekin,Köy Ekmeği,328.43,6,1970.58,2024-01-05
