Id,FirstName,LastName,ProductName,Price,Quantity,TotalPrice,OrderDate
20087,Elif,Doğan,Ispanaklı Börek,448.65,1,448.65,2025-01-19 03:00:00+03
20143,Rabia,Koç,Pastane Kurabiyesi,319.2,1,319.2,2025-01-04 03:00:00+03
20144,Elif,Güneş,Kuru Pasta,179.0,1,179.0,2025-01-24 03:00:00+03
20160,Emine,Tekin,Köy Ekmeği,328.43,1,328.43,2025-01-05 03:00:00+03
20173,Ahmet,Kılıç,Şöbiyet,242.15,1,242.15,2025-01-14 03:00:00+03
20174,Serkan,Yılmaz,Yaş Pasta,439.3,1,439.3,2025-01-17 03:00:00+03
20177,Aslı,Özkan,Patatesli Börek,222.77,1,222.77,2025-01-08 03:00:00+03
20190,Yusuf,Güneş,Patatesli Börek,241.44,1,241.44,2025-01-17 03:00:00+03
20203,Rabia,Doğan,Kazandibi,349.72,1,349.72,2025-01-08 03:00:00+03
20213,Hasan,Arslan,Tereyağlı Kurabiye,446.26,1,446.26,2025-01-01 03:00:00+03
20214,Mehmet,Aksoy,Sütlaç,270.0,1,270.0,2025-01-28 03:00:00+03
20229,Fatma,Aksoy,Su Böreği,452.48,1,452.48,2025-01-20 03:00:00+03
20257,Mehmet,Aksoy,Pastane Kurabiyesi,332.85,1,332.85,2025-01-03 03:00:00+03
20258,Hasan,Aksoy,Çikolatalı Kurabiye,473.1,1,473.1,2025-01-09 03:00:00+03
20262,Yusuf,Taş,Baklava,393.5,1,393.5,2025-01-19 03:00:00+03
20267,Ayşe,Kara,Ispanaklı Börek,487.73,1,487.73,2025-01-21 03:00:00+03
20281,Rabia,Yavuz,Pastane Kurabiyesi,199.94,1,199.94,2025-01-14 03:00:00+03
20292,Hüseyin,Şahin,Peynirli Börek,286.42,1,286.42,2025-01-23 03:00:00+03
20300,Fatma,Taş,Tereyağlı Kurabiye,98.26,1,98.26,2025-01-14 03:00:00+03
20316,Murat,Şahin,Peynirli Börek,268.5,1,268.5,2025-01-06 03:00:00+03
20327,Selin,Koç,Tam Buğday Ekmeği,324.36,1,324.36,2025-01-24 03:00:00+03
20351,Kemal,Özkan,Peynirli Börek,493.24,1,493.24,2025-01-10 03:00:00+03
20368,Rabia,Özkan,Poğaça,106.46,1,106.46,2025-01-25 03:00:00+03
20370,Serkan,Şahin,Tam Buğday Ekmeği,64.97,1,64.97,2025-01-25 03:00:00+03
20382,Hüseyin,Kara,Revani,487.18,1,487.18,2025-01-11 03:00:00+03
20411,Serkan,Yılmaz,Kuru Pasta,120.89,1,120.89,2025-01-17 03:00:00+03
20413,Zeynep,Aksoy,Peynirli Börek,254.13,1,254.13,2025-01-14 03:00:00+03
20420,Emine,Taş,Sarma,207.01,1,207.01,2025-01-10 03:00:00+03
20440,Fatma,Yavuz,Yaş Pasta,192.67,1,192.67,2025-01-11 03:00:00+03
20469,Serkan,Tekin,Kazandibi,446.16,1,446.16,2025-01-13 03:00:00+03
20485,Emine,Erdoğan,Çikolatalı Kurabiye,100.57,1,100.57,2025-01-05 03:00:00+03
20491,Zeynep,Koç,Kazandibi,164.55,1,164.55,2025-01-13 03:00:00+03
20497,Hatice,Polat,Yaş Pasta,396.58,1,396.58,2025-01-05 03:00:00+03
20510,Zeynep,Koç,Yaş Pasta,95.62,1,95.62,2025-01-17 03:00:00+03
20598,Murat,Aksoy,Peynirli Börek,211.74,1,211.74,2025-01-02 03:00:00+03
20614,Mehmet,Yıldız,Yaş Pasta,387.3,1,387.3,2025-01-12 03:00:00+03
20701,Ali,Polat,Kadayıf,217.28,1,217.28,2025-01-29 03:00:00+03
20702,Hasan,Güneş,Kıymalı Börek,471.75,1,471.75,2025-01-21 03:00:00+03
20709,Mehmet,Kılıç,Meyveli Pasta,196.55,1,196.55,2025-01-22 03:00:00+03
20769,Mehmet,Tekin,Su Böreği,140.1,1,140.1,2025-01-03 03:00:00+03
20789,Mehmet,Yılmaz,Köy Ekmeği,415.21,1,415.21,2025-01-24 03:00:00+03
20790,Yusuf,Aksoy,Kıymalı Börek,135.12,1,135.12,2025-01-20 03:00:00+03
20809,Hüseyin,Yılmaz,Pastane Kurabiyesi,348.69,1,348.69,2025-01-13 03:00:00+03
20810,Serkan,Yılmaz,Kuru Pasta,483.9,1,483.9,2025-01-29 03:00:00+03
20828,Emine,Kılıç,Peynirli Börek,44.73,1,44.73,2025-01-12 03:00:00+03
20829,Ahmet,Doğan,Baklava,346.62,1,346.62,2025-01-10 03:00:00+03
20848,Hasan,Aydın,Meyveli Pasta,196.43,1,196.43,2025-01-09 03:00:00+03
20853,Hasan,Güneş,Köy Ekmeği,258.07,1,258.07,2025-01-25 03:00:00+03
20855,Kemal,Tekin,Çavdar Ekmeği,407.28,1,407.28,2025-01-21 03:00:00+03
20858,Ahmet,Yavuz,Şöbiyet,447.92,1,447.92,2025-01-16 03:00:00+03
20877,Elif,Öztürk,Su Böreği,184.96,1,184.96,2025-01-18 03:00:00+03
20924,Murat,Polat,Kuru Pasta,436.91,1,436.91,2025-01-14 03:00:00+03
20938,Hüseyin,Doğan,Ispanaklı Börek,246.12,1,246.12,2025-01-08 03:00:00+03
